,B.S ELECTRICAL ENGINEERING CURRICULUM (Adopted/Official as of July 2020),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,FRESHMAN YEAR,,,,,,,,,,,,,,,,,,
,1ST SEMESTER,,,,2ND SEMESTER,,,,,,,,,,,,,,,
OREN 0100,Orientation I,1,,OREN 0101,Orientation II,1,,,,,,,,,,,,,,
ENGL 0101,English Composition*,3,,ENGL 0102,English Composition*,3,,,,,,,,,,,,,,
MATH 0207,Calculus I,4,,MATH 0208,Calculus II,4,,,,,,,,,,,,,,
EENG 0192,Freshman Engr. Des.,3,,EENG 0210,Python Programming,3,,,,,,,,,,,,,,
CHEM 0231,General Chemistry,4,,PHYS 0310,General Physics I,3,,,,,,,,,,,,,,
CHEM 0233,General Chemistry Lab,1,,PHYS 0313,General Physics I Lab,1,,,,,,,,,,,,,,
,Physical Education,1,,,Physical Education,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Semester credits,17,,,Semester credits,16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,SOPHOMORE YEAR,,,,,,,,,,,,,,,,,,
,1ST SEMESTER,,,,2ND SEMESTER,,,,,,,,,,,,,,,
EENG 0221,Linear Net. & Circ. I,3,,EENG 0322,Linear Net. & Circ. II,3,,,,,,,,,,,,,,
EENG 0221L,Circuits I Lab,1,,EENG 0322L,Circuits II Lab,1,,,,,,,,,,,,,,
MATH 0209,Calculus III,4,,ENGL 0203***,Technical Writing*,3,,,,,,,,,,,,,,
HIST 0103,SBS elective ** ,3,,HIST 0104,SBS elective**,3,,,,,,,,,,,,,,
PHYS 0311,General Physics II,3,,CSCI 0229,C++ Programming,3,,,,,,,,,,,,,,
PHYS 0314,General Physics II Lab,1,,EENG 0260,Intro. to Logic Circ.,3,,,,,,,,,,,,,,
,HFA* elective (music/arts),2,,EENG 0260L,Intro. to Logic Circ. Lab,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Semester credits,17,,,Semester credits,17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,JUNIOR YEAR,,,,,,,,,,,,,,,,,,,
,1ST SEMESTER,,,,2ND SEMESTER,,,,,,,,,,,,,,,
EENG 0315,Electromag. Theory & Appl.,3,,MATH 0461,Engineering Math,3,,,,,,,,,,,,,,
MENG 0237,Engr. Prob. & Stat.,3,,COEG 0305,Fund Cyber Security Engineering ,3,,,,,,,,,,,,,,
EENG 0225,Diff. Eq. & Linear Alg.,4,,EENG 0323,Signals & Systems,3,,,,,,,,,,,,,,
EENG 0325,Electronics I,3,,EENG 0390,Engineering Ethics*,3,,,,,,,,,,,,,,
EENG 0325L,Electronics I Lab,1,,EENG 0330,Electronics II,3,,,,,,,,,,,,,,
EENG 0360,Microprocessors,3,,EENG 0330L,Electronics II Lab,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Semester credits,17,,,Semester credits,16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,SENIOR YEAR,,,,,,,,,,,,,,,,,,,
,1ST SEMESTER,,,,2ND SEMESTER,,,,,,,,,,,,,,,
EENG 0461,Senior Design I,2,,EENG 0441,EIT Review,0,,,,,,,,,,,,,,
EENG 0431,Linear Control Systems,3,,EENG 0462,Senior Design II,2,,,,,,,,,,,,,,
EENG 0431L,Linear Control Systems Lab,1,,EENG 0402,Fund. of Energy & Power Systems,3,,,,,,,,,,,,,,
EENG 0400,Microelectronics,3,,EENG 0424L,Senior Electrical Lab,1,,,,,,,,,,,,,,
EENG 0401,Communcation Theory,3,,,Science Elective,3,,,,,,,,,,,,,,
,SBS elective**,3,,,SBS elective**,3,,,,,,,,,,,,,,
,,,,MENG 0429,Engineering Economics,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Semester credits,15,,,Semester credits,14,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* HFA - Humanities & Fine Arts,,,,,,,,,,,,,,,,,,,,
** SBS - Social & Behaviorial Sciences,,,,TOTAL CREDIT HOURS,,129,,,,,,,,,,,,,,
*** Can be supplanted with ENGL 0204,,,,,,,,,,,,,,,,,,,,
"Updated: October 17, 2019",,,,,,,,,,,,,,,,,,,,
